MAL_ID,Score,Score-1,Score-2,Score-3,Score-4,Score-5,Score-6,Score-7,Score-8,Score-9,Score-10,Ranked,Popularity
5578,7.29,9.0,7.0,20.0,28.0,123.0,326.0,673.0,475.0,232.0,206.0,2393.0,6747
5581,5.39,7.0,11.0,9.0,17.0,35.0,15.0,14.0,3.0,Unknown,9.0,9948.0,12555
5583,6.49,57.0,76.0,119.0,229.0,566.0,913.0,1031.0,533.0,276.0,308.0,5927.0,5850
5584,6.12,9.0,10.0,17.0,28.0,98.0,140.0,116.0,59.0,16.0,19.0,7714.0,9678
5585,6.18,10.0,11.0,22.0,35.0,88.0,170.0,158.0,65.0,19.0,23.0,7452.0,9122
5586,5.43,48.0,8.0,30.0,27.0,24.0,29.0,15.0,5.0,8.0,13.0,Unknown,10881
5587,5.19,21.0,14.0,19.0,37.0,44.0,46.0,27.0,6.0,1.0,12.0,Unknown,11146
5588,5.46,15.0,10.0,17.0,26.0,44.0,29.0,17.0,6.0,4.0,7.0,Unknown,11468
5589,4.12,141.0,90.0,61.0,69.0,67.0,47.0,35.0,14.0,8.0,30.0,Unknown,9133
5590,5.59,16.0,12.0,27.0,35.0,72.0,61.0,52.0,19.0,9.0,23.0,Unknown,10335
5593,7.34,73.0,108.0,217.0,671.0,1891.0,3878.0,7553.0,6778.0,3879.0,2286.0,2145.0,2103
5594,Unknown,5.0,Unknown,2.0,3.0,12.0,3.0,7.0,2.0,5.0,4.0,14014.0,14255
5597,7.28,61.0,92.0,148.0,362.0,926.0,1918.0,3767.0,3511.0,1460.0,606.0,2412.0,2390
5600,6.31,4.0,7.0,4.0,9.0,23.0,47.0,35.0,28.0,7.0,11.0,6843.0,11898
5602,4.96,16.0,19.0,27.0,31.0,36.0,24.0,16.0,4.0,Unknown,4.0,10616.0,12313
5603,6.52,19.0,33.0,35.0,70.0,170.0,270.0,333.0,197.0,95.0,107.0,Unknown,7296
5605,5.25,22.0,22.0,23.0,63.0,80.0,67.0,46.0,15.0,6.0,18.0,Unknown,9995
5606,5.37,14.0,9.0,19.0,27.0,53.0,47.0,17.0,10.0,1.0,16.0,Unknown,10472
5607,5.46,15.0,7.0,15.0,36.0,44.0,25.0,18.0,7.0,5.0,15.0,Unknown,11084
5608,5.49,18.0,8.0,18.0,49.0,73.0,57.0,47.0,11.0,3.0,20.0,Unknown,10321
5609,5.03,26.0,25.0,36.0,64.0,83.0,70.0,43.0,12.0,4.0,26.0,Unknown,10217
5610,5.48,13.0,15.0,13.0,21.0,55.0,39.0,25.0,10.0,6.0,11.0,Unknown,10481
5611,5.04,35.0,21.0,24.0,26.0,52.0,35.0,21.0,7.0,3.0,9.0,Unknown,10511
5612,5.58,15.0,8.0,7.0,45.0,46.0,40.0,24.0,9.0,5.0,15.0,Unknown,10976
5613,5.57,20.0,25.0,37.0,74.0,126.0,115.0,68.0,41.0,16.0,28.0,Unknown,9142
5614,5.59,12.0,17.0,11.0,19.0,46.0,51.0,34.0,15.0,3.0,15.0,Unknown,10740
5618,6.43,7.0,4.0,6.0,31.0,30.0,48.0,46.0,32.0,16.0,22.0,6280.0,10121
5620,5.71,12.0,14.0,20.0,47.0,111.0,109.0,85.0,22.0,13.0,12.0,9114.0,10245
5621,5.35,23.0,20.0,13.0,19.0,26.0,12.0,15.0,2.0,4.0,11.0,Unknown,11771
5622,4.47,161.0,131.0,156.0,184.0,238.0,158.0,89.0,46.0,25.0,32.0,10943.0,8155
5624,5.51,70.0,83.0,135.0,258.0,402.0,444.0,305.0,143.0,64.0,59.0,9672.0,7306
5628,6.14,8.0,8.0,10.0,12.0,37.0,35.0,43.0,26.0,11.0,11.0,7602.0,11258
